time        position    velocity    acc         throttle    brake       thrust      drag        brake_force 
0.00        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.01        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.02        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.03        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.04        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.05        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.06        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.07        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.08        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.09        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.10        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.11        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.12        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.13        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.14        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.15        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.16        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.17        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.18        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.19        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.20        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.21        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.22        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.23        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.24        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.25        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.26        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.27        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.28        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.29        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.30        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.31        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.32        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.33        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.34        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.35        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.36        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.37        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.38        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.39        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.40        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.41        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.42        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.43        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.44        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.45        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.46        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.47        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.48        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.49        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.50        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.51        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.52        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.53        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.54        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.55        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.56        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.57        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.58        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
